title,number,duration,description,id,published
"פרק #786 - גיא נתיב, אוסקר וגולדה",792,01:34:34,"גיא נתיב הוא במאי ויוצר קולנוע ישראלי שסרטו ״גולדה״ מוקרן בימים אלה בישראל וברחבי העולם. גיא הוא גם הבמאי הישראלי השני שזכה אי פעם באוסקר (על סרטו הקצר ״סקין״). על איך זה מרגיש לזכות, איך מביאים סרט קצר לזכות באוסקרים ומה הפרוייקט שגיא כרגע עובד עליו.
 
על מה דיברנו:
 
אוסקרים, סטינג, טרודי, הורות, כתיבת תסריט, The Last of Us, אפולו 11, גולדה, שחקנים ישראלים ואמריקאים, קרן הקולנוע הישראלי ועוד המון דברים.
 
קישורים והמלצות:

גיא נתיב - בטוויטר, באינסטגרםהסרט זוכה האוסקר ״סקין״ ביוטיוב
לינק להורדה ישירה
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/5097ae63-9e8c-3794-b443-451d805633fa,"time.struct_time(tm_year=2023, tm_mon=10, tm_mday=4, tm_hour=4, tm_min=24, tm_sec=23, tm_wday=2, tm_yday=277, tm_isdst=0)"
פרק #785 - האם המכונות ינצחו?,791,01:11:36,"ראם אירח את איתי כנען-הרפז וגיל גקר לשיחה על הרעיון הגורס שהפיתוחים האחרונים בתחום של אינטליגנציה מלאכותית יביאו לסופה של האנושות. גיל הוא חוקר אבטחה בצ׳ק פוינט, ואיתי הוא מתמטיקאי חובב וה-CTO של חברה בשם Ditto Fitness.

 

על מה דיברנו:
אינטליגנציה מלאכותית, הבורסה, גוגל, דיפ מיינד, גו, שחמט, ריצה, סכנה, סוף האנושות

 

נותני החסות לפרק:
חברת ServiceNow
חברת אקסטרא טק
הפרק עם משה פרידמן בגיקונומי

 

לינקים מהפרק:
חברת Ditto
אתר עם מבוא סיסטמטי לבעייה של AI Safety
שאלות ותשובות נפוצות בהקשר ל AI Safety
הפרק המקיף והמומלץ אצל לקס פרידמן על הנושא המדובר בפרק הזה",geekonomy.podbean.com/4f0ee016-d6ef-35fb-9336-c9e1b3bce76c,"time.struct_time(tm_year=2023, tm_mon=10, tm_mday=2, tm_hour=18, tm_min=53, tm_sec=39, tm_wday=0, tm_yday=275, tm_isdst=0)"
פרק #784 - גילי יובל משוררת טק,790,01:26:38,"גילי יובל היא משוררת טק, למרות שהיא טוענת שהיא לא משוררת ולא בטק. כך או כך, היא כתבה שני ספרי שירה נהדרים שעוסקים בתרבות העבודה ומתרכזת בעולם הטכנולוגיה. הספרים שלה צברו פופולריות רבה מאז שפורסמו והתפתחה קהילה גדולה של אנשים שנהנו מהם.

 

על מה דיברנו:
ספרי השירה של גילי, עולם העבודה, עבדים, פריבילגיות, גוגל, שליחי וולט, מקל בטוסיק, הוצאה של מקל מהטוסיק, לינקדאין, כמה מטופשים פוסטים בלינקדאין לפעמים, הצלחה עסקית, כשלונות עסקיים, תסמונת המתחזה, הפרק של ראם עם יותם זמרי, המעבר של גילי לאנגליה, ארצות הברית, כשלונות

 

נותני החסות של הפרק:
חברת אקסטרא טק
ביטוח רכב הפניקס סמארט

 

לינקים מהפרק:
הפרק עם משה פרידמן בגיקונומי
האתר של גילי יובל
הקהילה שצמחה מסביב לספרי השירה של גילי",geekonomy.podbean.com/1f27bd17-2442-3b3c-ad04-7cdc7537dbf9,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=29, tm_hour=10, tm_min=7, tm_sec=23, tm_wday=4, tm_yday=272, tm_isdst=0)"
פרק #783 - יותם זמרי וערוץ 14,789,02:10:58,"יותם זמרי הוא איש תקשורת, פרסום, הומור ורדיו ישראלי. כיום הוא מנחה תכנית רדיו עם חברו נועם פתחי וחבר פאנל קבוע בתכנית ״הפטריוטים״ המצליחה בערוץ 14.

 

על מה דיברנו:
תפילות בתל-אביב, ערוץ 14, הפגנות, יריב לוין, בנימין נתניהו, ינון מגל, רדיו, תקשורת, בית המשפט, חיל האוויר, ״האחת״, אחים לנשק, מדינת ישראל, פרובוקציות, טוויטר, מכבי חיפה, הפועל באר שבע, יוני נמרודי, ציון3

 

נותני החסות שלנו לפרק:
חפשו בגוגל R&amp;D משכנתאות וגיקונומי
הפרק בחסות פסטיבל הבירה שיערך במתחם התחנה בתל-אביב ב-18 ו-19 באוקטובר. להנחה מיוחדת למאזיני הפודקאסט השתמשו בקוד הקופון Geek",geekonomy.podbean.com/e970dd07-fe08-3b31-9e77-b2af14e0a8fe,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=29, tm_hour=9, tm_min=54, tm_sec=46, tm_wday=4, tm_yday=272, tm_isdst=0)"
פרק #782 - המירוץ לצמרת של קובי סודרי,788,01:45:06,"קובי סודרי הוא עורך דין פלילי, סא״ל במילואים, איש תקשורת ואיש משפחה. הוא החליף יותר מ-10 בתי ספר במהלך 12 שנות הלימוד שלו, אבל לקח את עצמו בידיים, השלים 3 תארים, והפך לחלומה של כל אם יהודיה. כיום הוא מנהל משרד עריכת דין מצליח, מככב בפאנלים בתקשורת כפרשן משפטי ומגלה אופטימיות מפתיעה לעתידה של מדינת ישראל.
 
על מה דיברנו:
 
ישראל השניה והראשונה, אבישי בן חיים, נתניהו, יום כיפור, חולון, שירות צבאי, רומן זדורוב, אנשים רעים, ייצוג משפטי פלילי, ההופעה של רוטמן בבגצ ועוד המון דברים.
 
הישארו אחרי אות הסיום לחפירה השבועית שלי
 
קישורים והמלצות:

קובי סודרי - בפייסבוק, בטוויטרמשרד עריכת הדין של קובי סודרי
 
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/89833c5c-2b02-3885-ae2c-b67ef1599b6b,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=28, tm_hour=4, tm_min=54, tm_sec=14, tm_wday=3, tm_yday=271, tm_isdst=0)"
פרק #781 - נעמה ריבה עירונית,787,01:48:49,"נעמה ריבה היא עיתונאית בקבוצת ״הארץ״ ומתרכזת בנושאי אדריכלות, עירוניות, עיצוב ואמנות.

 

על מה דיברנו:
חיפה, תל-אביב, גבעתיים, כרמל שאמה הכהן, רן קוניק, רון חולדאי, קופנהגן, הולנד, גרמניה, אופניים, כבישים, צל, רכבות, קבלנים, שימור, ארכיטקטים, חדרי ממ״ד, ערים ערביות, תכניות מתאר, קריית גת

 

הפרק בחסות פסטיבל הבירה שיערך במתחם התחנה בתל-אביב ב-17 ו-18 באוקטובר. להנחה מיוחדת למאזיני הפודקאסט השתמשו בקוד הקופון Geek",geekonomy.podbean.com/16f7d3ce-4d28-3e4c-8b66-480478c58a9f,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=52, tm_sec=40, tm_wday=0, tm_yday=268, tm_isdst=0)"
פרק #780 - גילי בן שחר עובר מבשר ל-AI,786,01:45:32,"גילי בן שחר תחזק עם שותפו אוהד קויתי את ״קרנבל של בשר״ בעשור האחרון כמעט. אחרי כל כך הרבה שנים של הופעות קולינריות שהפכו לאגדה בקרב חובבי האוכל הישראלים, גילי החליט להניח לפרות ולעבור לפירות מהפכת האינטליגנציה המלאכותית וצלל לתחום ה-Gen AI.

 

על מה דיברנו:
משבר אמצע חיים, שינוי כיון בקריירה, קרנבל של בשר, פוסט טראומה, הופעות מול קהל, ציד בטקסס, טבחים מפורטוגל, יציאה מאזור הנוחות, נועה קיריל, אבהות, ילדים, טיסות, שותפים, בשר, שכירות, עצמאות, הג׳מסטונס

 

נותני החסות שלנו:
הפודקאסט על הדרך 
ביטוח רכב הפניקס סמארט

 

לינקים מהפרק:
האימייל של גילי - hanzoom@gmail.com
אומצה בשוק
מסעדת Capa בקופנהגן
האתר של גילי
האינסטגרם של גילי",geekonomy.podbean.com/e8109d3d-33bf-3f1d-a5dc-fdf0ed9472be,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=22, tm_hour=5, tm_min=5, tm_sec=5, tm_wday=4, tm_yday=265, tm_isdst=0)"
פרק #779 - דנה אברמוביץ׳ עושה סובייצקה,785,01:28:03,"דנה אברמוביץ היא יוצרת, תסריטאית ועורכת וידאו. היא יצרה את הסידרה ״סובייצקה״ במסגרת לימודי הקולנוע באוניברסיטת תל אביב. הסידרה נבחרה לפיתוח והפקה על ידי תאגיד השידור הציבורי ״כאן״ ושידורה הסתיים לפני שבועות ספורים. התגובות לסידרה היו מאד טובות, ודנה כונתה ״קולו של דור״ על הייצוג האותנטי של העליה הרוסית, כפי שמוצג בסידרה.
הישארו אחרי אות הסיום לחפירה השבועית שלי
 
על מה דיברנו:
 
בבושקות ומטריושקות, הפקת סדרות, קורונה, דיסני, התגובות לסידרה, בבה לובה, סבתא בסלון ועוד המון דברים.
 
קישורים והמלצות:

דנה אברמוביץ - בפייסבוק, באינסטגרםהסידרה ״סובייצקה״ באתר תאגיד השידור הציבורי ״כאן״
לינק להורדה ישירה
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/04078381-df81-3404-952c-8caaff4e0e34,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=20, tm_hour=3, tm_min=50, tm_sec=16, tm_wday=2, tm_yday=263, tm_isdst=0)"
פרק #778 - תמרה אהרוני יוצרת תוכן ואוכל,784,01:49:47,"תמרה אהרוני היא אדרכילית, יוצרת תוכן וטבחית מוכשרת שגדלה בביתו של אחד מהשפים המפורסמים בתולדות ישראל, ישראל אהרוני. תמרה הפכה בשנים האחרונות לאחת מיוצרות התוכן הקולינריות הפופולריות בישראל עם עמוד אינסטגרם נפלא שמוקדש לנושא.

 

על מה דיברנו:
יצירת תוכן, בישול, ארכיטקטורה, ההבדלים התרבותיים בין הולנד לישראל, גידול ילדים, תל-אביב, דנמרק, אמסטרדם, עצי אשוח, גזענות, אינסטגרם, מסעדות, בית רומנו, שימור, משפחת ג׳מסטונס, מידות גדולות, אינדוקציה מול גז

 

נותני החסות שלנו לפרק:
הפודקאסט ״על החתום״ מבית אבי חי
תחסכו 55% מהמחיר על שיפור האנגלית שלכם בפלטפורמה Cambly

 

לינקים מהפרק:
עמוד האינסטגרם של תמרה",geekonomy.podbean.com/9c02ee42-ee88-3426-aee3-ff48d3383b4b,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=18, tm_hour=20, tm_min=28, tm_sec=23, tm_wday=0, tm_yday=261, tm_isdst=0)"
פרק #777 -  עודד גור לביא והיתוך גרעיני,783,01:30:36,"עודד גור לביא התגייס לחיל הים בשנת 1985. עד 2016, בה השתחרר בדרגת תת אלוף, הספיק למלא שורה של תפקידים משמעותיים בחיל, בעיקר בכל מה שקשור לשייטת הצוללות של צה״ל. בשנת 2019 הקים עם שותפיו את חברת nT-tao שעוסקת בפיתוח טכנולוגיה להיתוך גרעיני. 

 

על מה דיברנו:
היתוך גרעיני, אנרגיה, משבר האקלים, פחם, גיאו-פוליטיקה, חיל הים, יזמות, הזדמנויות, תרומה לאנושות כולה 

 

נותני החסות שלנו:
חברת ServiceNow
ביטוח מבנה לדירה הפניקס סמארט",geekonomy.podbean.com/0d1e4f85-8125-36af-8d63-8d10afe233cd,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=16, tm_hour=14, tm_min=15, tm_sec=39, tm_wday=5, tm_yday=259, tm_isdst=0)"
"פרק #776 - שמעון נטף, הרפורמה המשפטית והיוריסטוקרטים",782,02:32:37,"עו״ד שמעון נטף הוא משפטן, סופר, חוקר לשעבר בפורום קהלת והיועץ לשעבר של ח״כ שמחה רוטמן. בתפקידו הציבורי האחרון עזר לכתוב את הצעות החוק שבבסיס הרפורמה המשפטית שמקודמת היום בכנסת. הוא חרדי ליטאי, ליברטריאן ויש לו תשוקה גדולה לביקורת שיפוטית ומשפט חוקתי. בימים אלה הוא לומד לדוקטורט באוניבסיטת קולומביה בניו יורק.
 
על מה דיברנו:
 
אהרון ברק, נתניהו, שמחה רוטמן, יוריסטוקרטיה, פסק דין ירדור, מחאת השפחות, הפרדה מגדרית, זכויות להט״ב, בית המשפט העליון, סמוטריץ׳, ייצוג משפטי ועוד המון דברים.
 
קישורים והמלצות:

עו״ד שמעון נטף - בפייסבוק, בטוויטרמאמרים של שמעון נטף באתר קהלתהפרק הראשון בספר ״ביקורת החקיקה בישראל״ 
לינק להורדה ישירה
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/7ed086f2-4b15-34a0-a1d3-7111863f8550,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=3, tm_min=25, tm_sec=57, tm_wday=3, tm_yday=257, tm_isdst=0)"
